accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	outbreak	lineage	coverage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	num_date
OP743998	OP743998.1	MpxV/human/USA/Unknown-UW-102378/2022	2022-10-XX	North America	USA	USA		Homo sapiens	2022-10-31	SRR22094394	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1	1.0	0	609	0	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
OP747060	OP747060.1	MpxV/human/USA/WA-UW-104793/2022	2022-10-XX	North America	USA	Washington		Homo sapiens	2022-10-31	SRR22102839	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1	1.0	0	614	0	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
OP747062	OP747062.1	MpxV/human/USA/WA-UW-106624/2022	2022-10-XX	North America	USA	Washington		Homo sapiens	2022-10-31	SRR22102848	Sereewit et al.	Sereewit,J.,Xie,H.,Roychoudhury,P.,Greninger,A.L.	UW Virology, Laboratory Medicine	IIb	hMPXV-1	B.1	0.9999847877125284	3	608	0	good	good	good	good	good		False	[2022.7493150684932:2022.831506849315]
OP748945	OP748945.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00259/2022	2022-10-13	North America	USA			Homo sapiens	2022-11-01		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9874143674984408	928	599	1	good	good	good	good	good		False	2022.782191780822
OP748947	OP748947.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00261/2022	2022-09-23	North America	USA			Homo sapiens	2022-11-01		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.9878707361225908	1352	595	0	good	good	good	good	good	OPG023:574-661	False	2022.727397260274
OP748949	OP748949.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00263/2022	2022-09-30	North America	USA			Homo sapiens	2022-11-01		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.3	0.9710104508414932	4978	592	0	good	good	good	good	good		False	2022.7465753424658
OP748951	OP748951.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00265/2022	2022-09-07	North America	USA			Homo sapiens	2022-11-01		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.2	0.9753915896333332	4091	599	0	good	good	good	good	good		False	2022.6835616438357
OP748953	OP748953.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00267/2022	2022-09-30	North America	USA			Homo sapiens	2022-11-01		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.4	0.9827796905820728	2262	603	0	good	good	good	good	good		False	2022.7465753424658
OP748967	OP748967.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00281/2022	2022-10-18	North America	USA			Homo sapiens	2022-11-01		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1	0.968170823846782	4720	594	1	good	good	good	good	good		False	2022.795890410959
OP748968	OP748968.1	Monkeypox virus/Human/USA/CA-LACPHL-MA00282/2022	2022-10-13	North America	USA			Homo sapiens	2022-11-01		Hemarajata et al.	Hemarajata,P.,Green,N.M.,Garrigues,J.M.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	IIb	hMPXV-1	B.1.17	0.9804775644113606	3060	596	0	good	good	good	good	good		False	2022.782191780822
OP751215	OP751215.1	B1118394	2022-09-04	North America	USA	Delaware		Homo sapiens	2022-11-01		Bajwa et al.	Bajwa,M.I.,Miller,H.	Delaware Public Health Lab, Sequencing/Bioinformatics	IIb	hMPXV-1	B.1	0.9738399363112232	3578	590	0	good	good	good	good	good		False	2022.6753424657534
OP752114	OP752114.1	MPXV_USA_2022_OR0003	2022-06-XX	North America	USA	Oregon		Homo sapiens	2022-11-01	SRR22110860	Gigante et al.	Gigante,C.M.,Cogswell,K.,Zhao,H.,Batra,D.,Hetrick,E.E.,Howard,D.T.,Kovar,L.,Seabolt,M.H.,Morrison,S.S.,Desch,M.,Knipe,K.,Weigand,M.R.,Sheth,M.,Burgin,A.,Burroughs,M.,Lee,J.,Wilkins,K.,McCollum,A.,Hutson,C.,Davidson,W.,Rao,A.,Grenz,L.,Li,Y.	CDC, DHCPP-PRB	IIb	hMPXV-1	B.1.1	0.9997920987378872	41	606	0	good	good	good	good	good		False	[2022.4150684931508:2022.4945205479453]
OP764627	OP764627.1	MPXV/Germany/2022/RKI569	2022-06-XX	Europe	Germany			Homo sapiens	2022-11-03		Brinkmann et al.	Brinkmann,A.,Kohl,C.,Pape,K.,Schrick,L.,Michel,J.,Schaade,L.,Nitsche,A.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	IIb	hMPXV-1	B.1.2	0.9988945737770588	218	608	0	good	good	good	good	good		False	[2022.4150684931508:2022.4945205479453]
