accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution	clade	G_clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	G_coverage	F_coverage	num_date
OQ595262	OQ595262.1	Kilifi/RSVA/HF20032_12/03/2018	2018-03-12	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.2.2	GA2.3.5	0.0	good	43623	236	15014	0.9686042692939244	1.0	1.0	2018.1931506849314
OQ595266	OQ595266.1	Kilifi/RSVA/HF20036_13/03/2018	2018-03-13	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43372	236	15014	0.9685385878489328	1.0	1.0	2018.195890410959
OQ595276	OQ595276.1	Kilifi/RSVA/HF20046_23/03/2018	2018-03-23	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43405	236	15014	0.9686042692939244	1.0	1.0	2018.2232876712328
OQ595273	OQ595273.1	Kilifi/RSVA/HF20043_21/03/2018	2018-03-21	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D	GA2.3.5	0.0	good	43592	236	15014	0.9686042692939244	1.0	1.0	2018.217808219178
OQ595280	OQ595280.1	Kilifi/RSVA/HF20050_29/03/2018	2018-03-29	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43361	235	15014	0.9686042692939244	1.0	1.0	2018.2397260273972
OQ595284	OQ595284.1	Kilifi/RSVA/HF20054_04/04/2018	2018-04-04	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43367	236	15014	0.9686042692939244	1.0	1.0	2018.2561643835616
OQ595288	OQ595288.1	Kilifi/RSVA/HF20058_06/04/2018	2018-04-06	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	56.25	mediocre	43365	236	15014	0.9686699507389164	1.0	1.0	2018.2616438356165
OQ595298	OQ595298.1	Kilifi/RSVA/HF20068_15/04/2018	2018-04-15	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D	GA2.3.5	0.0	good	43431	236	15014	0.9686699507389164	1.0	1.0	2018.286301369863
OQ595299	OQ595299.1	Kilifi/RSVA/HF20069_15/04/2018	2018-04-15	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.2.2	GA2.3.5	0.0	good	43667	236	15014	0.9686042692939244	1.0	1.0	2018.286301369863
OQ595303	OQ595303.1	Kilifi/RSVA/HF20073_20/04/2018	2018-04-20	Africa	Kenya	Kilifi		Homo sapiens	2023-04-15		Lambisia et al.	Lambisia,A.W.,Lewa,C.,Mutunga,M.,Cheruiyot,R.,Okanda,D.,Makori,T.,Githinji,G.,Nokes,J.D.,Agoti,C.	KEMRI-Wellcome Trust, Epidemiology and Demography	A.D.4	GA2.3.5	0.0	good	43373	236	15014	0.9686699507389164	1.0	1.0	2018.3
