accession	accession_version	strain	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	sra_accessions	authors	abbr_authors	institution	num_date
KU978812	KU978812.1	NIGERIA IKEJI	1989-01-01	Africa	Nigeria			7283	Homo sapiens		2017-03-25	2017-03-25	SRR3287366	Rossi,S.L.,Guerbois,M.,Forrester,N.L.,Ksiazek,T.,Lin,D.,Hari,K.,Weaver,S.C.	Rossi et al.	University of Texas Medical Branch, Microbiology and Immunology	1989.0013698630137
KY425634	KY425634.1	IRF0172	1976-03-XX	Africa	Sierra Leone	Sebgwema		7277	Homo sapiens	True	2017-01-15	2017-01-15		Honko,A.N.,Hensley,L.E.,Wohl,S.,Barnes,K.G.,Sabeti,P.C.,Olinger,G.,Jahrling,P.B.,Sword,J.M.	Honko et al.	National Institute of Allergy and Infectious Diseases, National Institutes of Health, Integrated Research Facility - Frederick	[1976.1653005464482:1976.2472677595629]
MG812652	MG812652.1	LF11003	2011-02-20	Africa	Liberia	Bong		7135	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2011.1383561643836
MG812654	MG812654.1	LF11011	2011-04-14	Africa	Liberia	Bong		7134	Homo sapiens		2019-01-31	2019-01-31		Welch,S.R.,Davis,W.G.,Patel,K.,Albarino,C.G.,Stroher,U.	Welch et al.	Centers for Disease Control and Prevention, Viral Special Pathogens Branch	2011.2835616438356
MH053466	MH053466.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1546	2016-10-16	Africa	Nigeria			7001	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.7909836065573
MH053469	MH053469.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1604	2016-11-05	Africa	Nigeria			6735	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.8456284153006
MH053499	MH053499.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1423	2016-08-16	Africa	Nigeria			7183	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.6243169398906
MH053520	MH053520.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1568	2016-10-27	Africa	Nigeria			7193	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.8210382513662
MH053529	MH053529.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1398	2016-07-31	Africa	Nigeria			7177	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.5806010928961
MH053535	MH053535.1	Lassa virus/H.sapiens-wt/NGA/2016/ISTH_1472	2016-09-13	Africa	Nigeria			7237	Homo sapiens		2018-03-21	2018-03-21		Odia,I.,Ehaine,P.,Oguzie,J.U.,Siddle,K.J.,Mehta,S.,Barnes,K.M.,Winnicki,S.M.,Brehio,P.,Shah,R.,Chak,B.,Yozwiak,N.,Amao,A.,Nosamiefan,I.,Birren,B.W.,Park,D.J.,Folarin,O.,Okokhere,P.,Sabeti,P.C.,Happi,C.T.	Odia et al.	Broad Institute of Harvard and MIT, Infectious Disease Program	2016.700819672131
